tour,year,uk_tournament_id,location,tournament_name,series,surface,best_of,is_outdoor,start_date,end_date,num_matches,source_event_key,num_rounds,num_awarded_matches,num_completed_matches,num_disqualified_matches,num_retired_matches,num_walkover_matches,num_players,champion,runner_up,champion_avg_rank,champion_avg_odds,location_tournament_key
atp,2008,59,Vienna,BA-CA Tennis Trophy,International Gold,hard,3,False,2008-10-06,2008-10-12,31,2008_59_vienna_ba_ca_tennis_trophy,5,0,30,0,0,1,32,Petzschner P.,Monfils G.,125.0,,vienna_ba_ca_tennis_trophy
atp,2008,60,Madrid,Madrid Masters,Masters,hard,3,False,2008-10-12,2008-10-19,47,2008_60_madrid_madrid_masters,6,0,44,0,3,0,48,Murray A.,Simon G.,4.0,,madrid_madrid_masters
atp,2008,61,Basel,Davidoff Swiss Indoors,International,carpet,3,False,2008-10-20,2008-10-26,31,2008_61_basel_davidoff_swiss_indoors,5,0,31,0,0,0,32,Federer R.,Nalbandian D.,2.0,,basel_davidoff_swiss_indoors
atp,2008,62,Lyon,Grand Prix de Lyon,International,carpet,3,False,2008-10-20,2008-10-26,31,2008_62_lyon_grand_prix_de_lyon,5,0,31,0,0,0,32,Soderling R.,Benneteau J.,27.0,,lyon_grand_prix_de_lyon
atp,2008,63,St. Petersburg,St. Petersburg Open,International,carpet,3,False,2008-10-20,2008-10-26,31,2008_63_st_petersburg_st_petersburg_open,5,0,30,0,0,1,32,Murray A.,Golubev A.,4.0,,st_petersburg_st_petersburg_open
atp,2008,64,Paris,BNP Paribas,Masters,carpet,3,False,2008-10-26,2008-11-02,47,2008_64_paris_bnp_paribas,6,0,43,0,3,1,48,Nalbandian D.,Tsonga J.W.,8.0,,paris_bnp_paribas
atp,2008,65,Shanghai,Masters Cup,tour_finals,hard,3,False,2008-11-09,2008-11-16,15,2008_65_shanghai_masters_cup,3,0,15,0,0,0,9,Djokovic N.,Davydenko N.,3.0,,shanghai_masters_cup
atp,2009,1,Brisbane,Brisbane International,atp_250,hard,3,True,2009-01-04,2009-01-11,31,2009_1_brisbane_brisbane_international,5,0,31,0,0,0,32,Stepanek R.,Verdasco F.,26.0,,brisbane_brisbane_international
atp,2009,2,Chennai,Chennai Open,atp_250,hard,3,True,2009-01-05,2009-01-11,31,2009_2_chennai_chennai_open,5,0,29,0,0,2,32,Cilic M.,Schuettler R.,27.0,,chennai_chennai_open
atp,2009,3,Doha,Qatar Exxon Mobil Open,atp_250,hard,3,True,2009-01-05,2009-01-10,31,2009_3_doha_qatar_exxon_mobil_open,5,0,31,0,0,0,32,Murray A.,Roddick A.,4.0,,doha_qatar_exxon_mobil_open
atp,2009,4,Auckland,Heineken Open,atp_250,hard,3,True,2009-01-12,2009-01-17,27,2009_4_auckland_heineken_open,5,0,25,0,1,1,28,Del Potro J.M.,Querrey S.,9.0,,auckland_heineken_open
atp,2009,5,Sydney,Medibank International,atp_250,hard,3,True,2009-01-12,2009-01-17,27,2009_5_sydney_medibank_international,5,0,25,0,1,1,28,Nalbandian D.,Nieminen J.,11.0,,sydney_medibank_international
atp,2009,6,Melbourne,Australian Open,grand_slam,hard,5,True,2009-01-19,2009-02-01,127,2009_6_melbourne_australian_open,7,0,123,0,4,0,128,Nadal R.,Federer R.,1.0,,melbourne_australian_open
atp,2009,7,Johannesburg,SA Tennis Open,atp_250,hard,3,True,2009-02-02,2009-02-08,31,2009_7_johannesburg_sa_tennis_open,5,0,31,0,0,0,32,Tsonga J.W.,Chardy J.,14.0,,johannesburg_sa_tennis_open
atp,2009,8,Vina del Mar,Movistar Open,atp_250,clay,3,True,2009-02-02,2009-02-09,27,2009_8_vina_del_mar_movistar_open,5,0,26,0,1,0,28,Gonzalez F.,Acasuso J.,18.0,,vina_del_mar_movistar_open
atp,2009,9,Zagreb,PBZ Zagreb Indoors,atp_250,carpet,3,False,2009-02-02,2009-02-08,31,2009_9_zagreb_pbz_zagreb_indoors,5,0,30,0,1,0,32,Cilic M.,Ancic M.,22.0,,zagreb_pbz_zagreb_indoors
atp,2009,10,Costa Do Sauipe,Brasil Open,atp_250,clay,3,True,2009-02-09,2009-02-15,31,2009_10_costa_do_sauipe_brasil_open,5,0,30,0,1,0,32,Robredo T.,Bellucci T.,19.0,,costa_do_sauipe_brasil_open
atp,2009,11,Rotterdam,ABN AMRO World Tennis Tournament,atp_500,hard,3,False,2009-02-09,2009-02-15,31,2009_11_rotterdam_abn_amro_world_tennis_tournament,5,0,29,0,2,0,32,Murray A.,Nadal R.,4.0,,rotterdam_abn_amro_world_tennis_tournament
atp,2009,12,San Jose,SAP Open,atp_250,hard,3,False,2009-02-09,2009-02-16,31,2009_12_san_jose_sap_open,5,0,31,0,0,0,32,Stepanek R.,Fish M.,21.0,,san_jose_sap_open
