tour,year,tourney_id,tourney_number,tournament_name,tourney_level,surface,best_of,draw_size
atp,2005,2005-D076,1,1,1,1,2,1
atp,2005,2005-D077,1,1,1,1,2,1
atp,2005,2005-D078,1,1,1,1,2,1
atp,2005,2005-D079,1,1,1,1,2,1
atp,2005,2005-D080,1,1,1,1,2,1
atp,2005,2005-D081,1,1,1,1,2,1
atp,2006,2006-1536,1,1,1,1,2,1
atp,2006,2006-314,1,1,1,1,2,1
atp,2006,2006-319,1,1,1,1,2,1
atp,2006,2006-321,1,1,1,1,2,1
atp,2006,2006-328,1,1,1,1,2,1
atp,2006,2006-337,1,1,1,1,2,1
atp,2006,2006-352,1,1,1,1,2,1
atp,2006,2006-403,1,1,1,1,2,1
atp,2006,2006-404,1,1,1,1,2,1
atp,2006,2006-410,1,1,1,1,2,1
atp,2006,2006-414,1,1,1,1,2,1
atp,2006,2006-416,1,1,1,1,2,1
atp,2006,2006-425,1,1,1,1,2,1
atp,2006,2006-605,1,1,1,1,2,1
atp,2006,2006-D001,1,1,1,1,2,1
atp,2006,2006-D002,1,1,1,1,2,1
atp,2006,2006-D003,1,1,1,1,2,1
atp,2006,2006-D005,1,1,1,1,2,1
atp,2006,2006-D006,1,1,1,1,2,1
atp,2006,2006-D007,1,1,1,1,2,1
atp,2006,2006-D008,1,1,1,1,2,1
atp,2006,2006-D010,1,1,1,1,2,1
atp,2006,2006-D011,1,1,1,1,2,1
atp,2006,2006-D012,1,1,1,1,2,1
atp,2006,2006-D013,1,1,1,1,2,1
atp,2006,2006-D014,1,1,1,1,2,1
atp,2006,2006-D016,1,1,1,1,2,1
atp,2006,2006-D017,1,1,1,1,2,1
atp,2006,2006-D018,1,1,1,1,2,1
atp,2006,2006-D019,1,1,1,1,2,1
atp,2006,2006-D020,1,1,1,1,2,1
atp,2006,2006-D021,1,1,1,1,2,1
atp,2006,2006-D023,1,1,1,1,2,1
atp,2006,2006-D025,1,1,1,1,2,1
atp,2006,2006-D026,1,1,1,1,2,1
atp,2006,2006-D027,1,1,1,1,2,1
atp,2006,2006-D028,1,1,1,1,2,1
atp,2006,2006-D030,1,1,1,1,2,1
atp,2006,2006-D031,1,1,1,1,2,1
atp,2006,2006-D033,1,1,1,1,2,1
atp,2006,2006-D034,1,1,1,1,2,1
atp,2006,2006-D035,1,1,1,1,2,1
atp,2006,2006-D036,1,1,1,1,2,1
atp,2006,2006-D039,1,1,1,1,2,1
atp,2006,2006-D040,1,1,1,1,2,1
atp,2006,2006-D041,1,1,1,1,2,1
atp,2006,2006-D042,1,1,1,1,2,1
atp,2006,2006-D043,1,1,1,1,2,1
atp,2006,2006-D044,1,1,1,1,2,1
