tour,year,tourney_id,tourney_number,tournament_name,tourney_level,surface,best_of,draw_size,start_date,end_date,num_matches,num_rounds,num_completed_matches,num_defaulted_matches,num_retired_matches,num_walkover_matches,num_players,champion,runner_up,champion_avg_rank
atp,2000,2000-D068,D068,Davis Cup G2 QF: CRC vs MEX,D,hard,5,4,2000-02-04,2000-02-04,4,1,4,0,0,0,4,,,
atp,2000,2000-D069,D069,Davis Cup G2 QF: GUA vs CUB,D,hard,3,4,2000-02-04,2000-02-04,4,1,4,0,0,0,6,,,
atp,2000,2000-D070,D070,Davis Cup WG R1: CZE vs GBR,D,clay,5,4,2000-02-04,2000-02-04,4,1,4,0,0,0,5,,,
atp,2000,2000-D071,D071,Davis Cup G2 QF: ESA vs PAR,D,clay,3,4,2000-02-04,2000-02-04,4,1,4,0,0,0,5,,,
atp,2000,2000-D072,D072,Davis Cup WG R1: ESP vs ITA,D,clay,3,4,2000-02-04,2000-02-04,4,1,4,0,0,0,6,,,
atp,2000,2000-D073,D073,Davis Cup WG R1: GER vs NED,D,carpet,5,4,2000-02-04,2000-02-04,4,1,4,0,0,0,5,,,
atp,2000,2000-D074,D074,Davis Cup G2 QF: HKG vs PAK,D,hard,5,4,2000-01-28,2000-01-28,4,1,4,0,0,0,5,,,
atp,2000,2000-D075,D075,Davis Cup G2 QF: PHI vs INA,D,hard,3,4,2000-02-04,2000-02-04,4,1,4,0,0,0,5,,,
atp,2000,2000-D076,D076,Davis Cup G1 QF: IND vs LIB,D,grass,5,4,2000-02-04,2000-02-04,4,1,4,0,0,0,4,,,
atp,2000,2000-D077,D077,Davis Cup G2 QF: MAS vs IRI,D,hard,5,4,2000-02-04,2000-02-04,4,1,4,0,0,0,4,,,
atp,2000,2000-D078,D078,Davis Cup G1 QF: JPN vs KOR,D,carpet,5,4,2000-02-04,2000-02-04,4,1,4,0,0,0,5,,,
atp,2000,2000-D079,D079,Davis Cup G2 QF: KAZ vs TPE,D,hard,3,4,2000-02-04,2000-02-04,4,1,4,0,0,0,6,,,
atp,2000,2000-D080,D080,Davis Cup G1 QF: NZL vs THA,D,hard,3,4,2000-02-04,2000-02-04,4,1,4,0,0,0,6,,,
atp,2000,2000-D081,D081,Davis Cup G1 R1: UKR vs POR,D,carpet,3,4,2000-02-04,2000-02-04,4,1,4,0,0,0,5,,,
atp,2000,2000-D082,D082,Davis Cup G2 QF: VEN vs URU,D,hard,3,4,2000-02-04,2000-02-04,4,1,4,0,0,0,7,,,
atp,2000,2000-D083,D083,Davis Cup WG R1: ZIM vs USA,D,hard,5,4,2000-02-04,2000-02-04,4,1,4,0,0,0,4,,,
atp,2001,2001-301,301,Auckland,A,hard,3,32,2001-01-08,2001-01-08,31,5,31,0,0,0,32,Dominik Hrbaty,Francisco Clavet,17.0
atp,2001,2001-306,306,St. Poelten,A,clay,3,32,2001-05-21,2001-05-21,31,5,31,0,0,0,32,Andrea Gaudenzi,Markus Hipfl,120.0
atp,2001,2001-308,308,Munich,A,clay,3,32,2001-04-30,2001-04-30,31,5,31,0,0,0,32,Jiri Novak,Antony Dupuis,68.0
atp,2001,2001-311,311,Queen's Club,A,grass,3,56,2001-06-11,2001-06-11,55,6,55,0,0,0,56,Lleyton Hewitt,Tim Henman,6.0
atp,2001,2001-314,314,Gstaad,A,clay,3,32,2001-07-09,2001-07-09,31,5,31,0,0,0,32,Jiri Novak,Juan Carlos Ferrero,40.0
atp,2001,2001-315,315,Newport,A,grass,3,32,2001-07-09,2001-07-09,31,5,31,0,0,0,32,Neville Godwin,Martin Lee,167.0
atp,2001,2001-316,316,Bastad,A,clay,3,32,2001-07-09,2001-07-09,31,5,31,0,0,0,32,Andrea Gaudenzi,Bohdan Ulihrach,78.0
atp,2001,2001-317,317,Amsterdam,A,clay,3,32,2001-07-16,2001-07-16,31,5,31,0,0,0,32,Alex Corretja,Younes El Aynaoui,9.0
atp,2001,2001-319,319,Kitzbuhel,A,clay,3,48,2001-07-23,2001-07-23,47,6,42,0,5,0,48,Nicolas Lapentti,Albert Costa,36.0
atp,2001,2001-321,321,Stuttgart,A,clay,3,48,2001-07-16,2001-07-16,47,6,46,0,1,0,48,Gustavo Kuerten,Guillermo Canas,1.0
atp,2001,2001-325,325,Palermo,A,clay,3,32,2001-09-24,2001-09-24,31,5,28,0,3,0,32,Felix Mantilla,David Nalbandian,56.0
atp,2001,2001-328,328,Basel,A,carpet,3,32,2001-10-22,2001-10-22,31,5,30,0,1,0,32,Tim Henman,Roger Federer,11.0
atp,2001,2001-329,329,Tokyo,A,hard,3,56,2001-10-01,2001-10-01,55,6,55,0,0,0,56,Lleyton Hewitt,Michel Kratochvil,3.0
atp,2001,2001-336,336,Hong Kong,A,hard,3,32,2001-09-24,2001-09-24,31,5,29,0,2,0,32,Marcelo Rios,Rainer Schuettler,58.0
atp,2001,2001-337,337,Vienna,A,hard,3,32,2001-10-08,2001-10-08,31,5,29,0,2,0,32,Tommy Haas,Guillermo Canas,16.0
atp,2001,2001-338,338,Sydney,A,hard,3,32,2001-01-08,2001-01-08,31,5,30,0,1,0,32,Lleyton Hewitt,Magnus Norman,7.0
atp,2001,2001-339,339,Adelaide,A,hard,3,32,2001-01-01,2001-01-01,31,5,31,0,0,0,32,Tommy Haas,Nicolas Massu,23.0
atp,2001,2001-352,352,Paris Masters,M,carpet,3,48,2001-10-29,2001-10-29,47,6,46,0,1,0,48,Sebastien Grosjean,Yevgeny Kafelnikov,8.0
atp,2001,2001-357,357,Stuttgart Masters,M,hard,3,48,2001-10-15,2001-10-15,47,6,47,0,0,0,48,Tommy Haas,Max Mirnyi,14.0
atp,2001,2001-359,359,Bogota,A,clay,3,32,2001-01-28,2001-01-28,31,5,31,0,0,0,32,Fernando Vicente,Juan Ignacio Chela,51.0
atp,2001,2001-360,360,Casablanca,A,clay,3,32,2001-04-09,2001-04-09,31,5,31,0,0,0,32,Guillermo Canas,Tommy Robredo,128.0
